"Date","Time","Type","Reference No","Discription","Cash IN","Cash Out","UPI IN","UPI OUT","Running Cash Balance","Running UPI Balance","Total Available (Cash+UPI)","","","","","","","","","","","","","",""
"","","","","","10,170.00","","","","","","","","","","","","","","","","","","","",""
"05.02.2026","0","Opening Balance","","","10,170.00","","0.00","","10,170.00","0.00","10,170.00","","","","","","","","","","","","","",""
"05.02.2026","0","Vendor Payment-Cash","2493","N. BISWAS & CHOWDHURY","","4,434.00","","","5,736.00","0.00","5,736.00","","","","","","","","","","","","","",""
"05.02.2026","0","Sale-Cash","","","3,413.00","","","","9,149.00","0.00","9,149.00","","","","","","","","","","","","","",""
"05.02.2026","0","Sale-UPI","","","","","1,597.00","","9,149.00","1,597.00","10,746.00","","","","","","","","","","","","","",""
"06.02.2026","0","Opening Balance","","","","","","","9,149.00","1,597.00","10,746.00","","","","","","","","","","","","","",""
"06.02.2026","0","Sale-Cash","","","1,959.00","","","","11,108.00","1,597.00","12,705.00","","","","","","","","","","","","","",""
"06.02.2026","0","Vendor Payment-Cash","","MURI","","640.00","","","10,468.00","1,597.00","12,065.00","","","","","","","","","","","","","",""
"06.02.2026","0","Vendor Payment-Cash","","IMAMI","","1,585.00","","","8,883.00","1,597.00","10,480.00","","","","","","","","","","","","","",""
"06.02.2026","0","Sale-UPI","","","","","2,600.00","","8,883.00","4,197.00","13,080.00","","","","","","","","","","","","","",""
"07.02.2026","0","Opening Balance","","","","","","","8,883.00","4,197.00","13,080.00","","","","","","","","","","","","","",""
"07.02.2026","0","Sale-Cash","","","2,357.00","","","","11,240.00","4,197.00","15,437.00","","","","","","","","","","","","","",""
"07.02.2026","0","Sale-UPI","","","","","2,859.00","","11,240.00","7,056.00","18,296.00","","","","","","","","","","","","","",""
"07.02.2026","0","Vendor Payment-Cash","","SUNFEAST","","1,747.00","","","9,493.00","7,056.00","16,549.00","","","","","","","","","","","","","",""
"07.02.2026","0","Vendor Payment-Cash","","SABITRA","","1,193.00","","","8,300.00","7,056.00","15,356.00","","","","","","","","","","","","","",""
"08.02.2026","0","Sale-Cash","","","2,250.00","","","","10,550.00","7,056.00","17,606.00","","","","","","","","","","","","","",""
"08.02.2026","0","Sale-UPI","","","","","1,650.00","","10,550.00","8,706.00","19,256.00","","","","","","","","","","","","","",""
"09.02.2026","0","Opening Balance","","","","","","","10,550.00","8,706.00","19,256.00","","","","","","","","","","","","","",""
"09.02.2026","0","Sale-Cash","","","3,046.00","","","","13,596.00","8,706.00","22,302.00","","","","","","","","","","","","","",""
"09.02.2026","0","Sale-UPI","","","","","3,881.00","","13,596.00","12,587.00","26,183.00","","","","","","","","","","","","","",""
"09.02.2026","0","Vendor Payment-Cash","","FORTUNE","","8,190.00","","","5,406.00","12,587.00","17,993.00","","","","","","","","","","","","","",""
"09.02.2026","0","Vendor Payment-Cash","","BRITANNIYA","","2,358.00","","","3,048.00","12,587.00","15,635.00","","","","","","","","","","","","","",""
"09.02.2026","0","Expense","","TOTO+PRINTER PAGE","","170.00","","","2,878.00","12,587.00","15,465.00","","","","","","","","","","","","","",""
"10.02.2026","0","Opening Balance","","","","","","","2,878.00","12,587.00","15,465.00","","","","","","","","","","","","","",""
"10.02.2026","0","Sale-Cash","","","3,088.00","","","","5,966.00","12,587.00","18,553.00","","","","","","","","","","","","","",""
"10.02.2026","0","Sale-UPI","","","","","1,282.00","","5,966.00","13,869.00","19,835.00","","","","","","","","","","","","","",""
"10.02.2026","0","Vendor Payment-Cash","","PROVUJI","","1,362.00","","","4,604.00","13,869.00","18,473.00","","","","","","","","","","","","","",""
"10.02.2026","0","Vendor Payment-Cash","","HINDUSTAN","","1,346.00","","","3,258.00","13,869.00","17,127.00","","","","","","","","","","","","","",""
"11.02.2026","0","Opening Balance","","","","","","","3,258.00","13,869.00","17,127.00","","","","","","","","","","","","","",""
"11.02.2026","0","Sale-Cash","","","3,012.00","","","","6,270.00","13,869.00","20,139.00","","","","","","","","","","","","","",""
"11.02.2026","0","Sale-UPI","","","","","1,649.00","","6,270.00","15,518.00","21,788.00","","","","","","","","","","","","","",""
"11.02.2026","0","Vendor Payment-Cash","","BIKAJI","","1,256.00","","","5,014.00","15,518.00","20,532.00","","","","","","","","","","","","","",""
"11.02.2026","0","Vendor Payment-Cash","","CADBURY","","947.00","","","4,067.00","15,518.00","19,585.00","","","","","","","","","","","","","",""
"12.02.2026","0","Opening Balance","","","","","","","4,067.00","15,518.00","19,585.00","","","","","","","","","","","","","",""
"12.02.2026","0","Sale-Cash","","","3,495.00","","","","7,562.00","15,518.00","23,080.00","","","","","","","","","","","","","",""
"12.02.2026","0","Sale-UPI","","","","","1,563.00","","7,562.00","17,081.00","24,643.00","","","","","","","","","","","","","",""
"12.02.2026","0","Expense","","","","40.00","","","7,522.00","17,081.00","24,603.00","","","","","","","","","","","","","",""
"13.02.2026","0","Opening Balance","","","","","","","7,522.00","17,081.00","24,603.00","","","","","","","","","","","","","",""
"13.02.2026","0","Sale-Cash","","","3,215.00","","","","10,737.00","17,081.00","27,818.00","","","","","","","","","","","","","",""
"13.02.2026","0","Sale-UPI","","","","","2,597.00","","10,737.00","19,678.00","30,415.00","","","","","","","","","","","","","",""
"13.02.2026","0","Vendor Payment-Cash","","ITC","","3,313.00","","","7,424.00","19,678.00","27,102.00","","","","","","","","","","","","","",""
"14.02.2026","0","Opening Balance","","","","","","","7,424.00","19,678.00","27,102.00","","","","","","","","","","","","","",""
"14.02.2026","0","Sale-Cash","","","1,659.00","","","","9,083.00","19,678.00","28,761.00","","","","","","","","","","","","","",""
"14.02.2026","0","Sale-UPI","","","","","1,429.00","","9,083.00","21,107.00","30,190.00","","","","","","","","","","","","","",""
"14.02.2026","0","Vendor Payment-Cash","","GOURI SANKAR AGENCY","","6,248.00","","","2,835.00","21,107.00","23,942.00","","","","","","","","","","","","","",""
"14.02.202","0","Vendor Payment-Cash","","BARNWAL AGENCY (AMUL)","","902.00","","","1,933.00","21,107.00","23,040.00","","","","","","","","","","","","","",""
"15.02.2026","0","Opening Balance","","","","","","","1,933.00","21,107.00","23,040.00","","","","","","","","","","","","","",""
"15.02.2026","0","Sale-Cash","","","3,506.00","","","","5,439.00","21,107.00","26,546.00","","","","","","","","","","","","","",""
"15.02.2026","0","Sale-UPI","","","","","1,181.00","","5,439.00","22,288.00","27,727.00","","","","","","","","","","","","","",""
"15.02.2026","0","Expense","","","","50.00","","","5,389.00","22,288.00","27,677.00","","","","","","","","","","","","","",""
"16.02.2026","0","Opening Balance","","","","","","","5,389.00","22,288.00","27,677.00","","","","","","","","","","","","","",""
"16.02.2026","0","Sale-Cash","","","6,159.00","","","","11,548.00","22,288.00","33,836.00","","","","","","","","","","","","","",""
"16.02.2026","0","Sale-UPI","","","","","1,092.00","","11,548.00","23,380.00","34,928.00","","","","","","","","","","","","","",""
"16.02.2026","0","Vendor Payment-Cash","","PEPSI","","5,010.00","","","6,538.00","23,380.00","29,918.00","","","","","","","","","","","","","",""
"16.02.2026","0","Vendor Payment-Cash","","BARNWAL AGENCY (AMUL)","","2,316.00","","","4,222.00","23,380.00","27,602.00","","","","","","","","","","","","","",""
"16.02.2026","0","Vendor Payment-Cash","","GOURI SANKAR","","393.00","","","3,829.00","23,380.00","27,209.00","","","","","","","","","","","","","",""
"16.02.2026","0","Vendor Payment-Cash","","BARNWAL AGENCY (AMUL)","","1,060.00","","","2,769.00","23,380.00","26,149.00","","","","","","","","","","","","","",""
