" Barcode","HSN CODE","Item Name","MRP","Sale Price ","Purchase Price","Margin %","Markup %","Discount on MRP %","Profit per Unit (INR)","","","","","","","","","","","","","","","","",""
"8901030557781","","2 IN 1 90 ML","18","17","14.28","16","19.05","5.56","2.72","","","","","","","","","","","","","","","","",""
"8902080002283","22029090","7 UP 400","20","20","18","10","11.11","0","2","","","","","","","","","","","","","","","","",""
"8902080002269","22029990","7 UP EXTRA FIZZ 250 ML","10","10","8","20","25","0","2","","","","","","","","","","","","","","","","",""
"8901030951169","21050000","AAM PANNA CHUSKI 60 ML","10","10","9.32","6.8","7.3","0","0.68","","","","","","","","","","","","","","","","",""
"8901030739002","21050000","AAMRAS  55G","40","40","13.32","66.7","200.3","0","26.68","","","","","","","","","","","","","","","","",""
"8901725015671","11061000","AASHIRVAAD CHANA BESAN 200 G","30","28","23.53","15.96","19","6.67","4.47","","","","","","","","","","","","","","","","",""
"8901725015664","11061000","AASHIRVAAD CHANA BESAN 500 G","75","65","54","16.92","20.37","13.33","11","","","","","","","","","","","","","","","","",""
"8909081001840","21061000","AASHIRVAAD MINI SOYA CHUNKS 200 G","47","40","35","12.5","14.29","14.89","5","","","","","","","","","","","","","","","","",""
"8909081001864","21061000","AASHIRVAAD MINI SOYA CHUNKS 40 G","10","10","7.16","28.4","39.66","0","2.84","","","","","","","","","","","","","","","","",""
"8909081007408","25010090","AASHIRVAAD SALT 1 KG","30","26","21.68","16.62","19.93","13.33","4.32","","","","","","","","","","","","","","","","",""
"8909081004834","11010000","AASHIRVAAD SHUDH CHAKKI ATTA  1 KG","56","55","49.02","10.87","12.2","1.79","5.98","","","","","","","","","","","","","","","","",""
"8901725121129","11010000","AASHIRVAAD SHUDH CHAKKI ATTA  5 KG","283","245","237.08","3.23","3.34","13.43","7.92","","","","","","","","","","","","","","","","",""
"8901725006839","11010000","AASHIRVAAD SHUDH CHAKKI ATTA  5.5 KG","283","250","239.57","4.17","4.35","11.66","10.43","","","","","","","","","","","","","","","","",""
"8901725006839","11010000","AASHIRVAAD SHUDH CHAKKI ATTA 1 KG","56","52","49.02","5.73","6.08","7.14","2.98","","","","","","","","","","","","","","","","",""
"8909081001833","21061000","AASHIRVAAD SOYA CHUNKS 200 G","50","40","35","12.5","14.29","20","5","","","","","","","","","","","","","","","","",""
"8909081001857","21061000","AASHIRVAAD SOYA CHUNKS 40 G","10","10","8.24","17.6","21.36","0","1.76","","","","","","","","","","","","","","","","",""
"","82142090","AGARO NAIL CIPPER","35","30","27.5","8.33","9.09","14.29","2.5","","","","","","","","","","","","","","","","",""
"8906006435773","38089191","ALL OUT ULTRA  45 ML","105","94","92","2.13","2.17","10.48","2","","","","","","","","","","","","","","","","",""
"8906044993440","22029990","ALO FRUIT ANAAR 160 ML","20","20","16.33","18.35","22.47","0","3.67","","","","","","","","","","","","","","","","",""
"8906044993518","8109060","ALO FRUIT LITCHI 160 ML","20","20","16.33","18.35","22.47","0","3.67","","","","","","","","","","","","","","","","",""
"8906044993525","22029920","ALO FRUIT MANGO 160 ML","20","20","16.33","18.35","22.47","0","3.67","","","","","","","","","","","","","","","","",""
"8906044993532","22029920","ALO FRUIT MIXED FRUIT 160 ML","20","20","16.33","18.35","22.47","0","3.67","","","","","","","","","","","","","","","","",""
"8906044993471","22029920","ALO FRUT GUAVA 160 ML","20","20","16.33","18.35","22.47","0","3.67","","","","","","","","","","","","","","","","",""
"8906044993495","2202","ALO FRUT KIWI 160 ML","20","20","16.33","18.35","22.47","0","3.67","","","","","","","","","","","","","","","","",""
"8906044995680","22029920","ALO FRUT PINEAPPLE 160 ML","20","20","16.33","18.35","22.47","0","3.67","","","","","","","","","","","","","","","","",""
"8904362534031","7129090","ALPS BEETROOT 5 G","10","10","7.9","21","26.58","0","2.1","","","","","","","","","","","","","","","","",""
"8904362532426","33049990","ALPS GOOD NESS FLAXSEED GEL FOR HAIR & SKIN 300 ML","265","240","172.8","28","20","9.43","67.2","","","","","","","","","","","","","","","","",""
"8904362534932","30039011","ALPS GOOD NESS MULTANI MITTI BEAUTY MASK FOR SKIN & HAIR 10 G","10","10","7.5","25","20","0","2.5","","","","","","","","","","","","","","","","",""
"8904362534949","30039011","ALPS GOOD NESS SANDALWOOD BEUTY MASK FOR SKIN $ HAIR 5 G","10","10","7.5","25","20","0","2.5","","","","","","","","","","","","","","","","",""
"8904362515832","33049990","ALPS GOODNESS ROSEMARY WATER 100 ML","230","210","165.6","21.14","20","8.7","44.4","","","","","","","","","","","","","","","","",""
