"Date","Vendor Name","Bill Number/Invoice Number","Bill Amount","Cash Paid","Online Paid ","Owner Paid","Due","Date of Purchase","Date of Bill Clear","Note/Remarks","Invoice Picture"
"21/01/2026","GOURI SANKAR ASSOCIATES ","I/25-26/068629","18211.61","18211.61","","","","21/01/2026","21/01/2026","",""
"21/01/2026","M/S PAUL & SONS ","13699","67131","17131","","50000","","21/01/2026","21/01/2026","",""
"22/01/2026","BARNWAL AGENCY","A005630","12099","12099","","","","22/01/2026","22/01/2026","",""
"22/01/2026","GOURI SANKAR ASSOCIATES","I/25-26/069031","16648","16648","","","","22/01/2026","22/01/2026","",""
"22/01/2026","GOURI SANKAR ASSOCIATES","I/25-26/069032","5458","5458","","","","22/01/2026","22/01/2026","",""
"22/01/2026","MAA KAMAKHYA ENTERPRISE","","10677","10677","","","","22/01/2026","22/01/2026","",""
"24/01/2026","GOURI SHANKAR AGENCY ","FSL413727","50672","50672","","","","24/01/2026","24/01/2026","OPENING STOCK PURCHASE",""
"24/01/2026","GOURI SHANKAR AGENCY ","HAL/25-26/05064","8772","","","8772","","24/01/2026","31/01/2026","Initial stock purchase",""
"25/01/2026","DINHATA "," ","32650","32650","","","","25/01/2026","25/01/2026","",""
"27/01/2026","APARNA ENTERPRISE ","R006907","5697","","","5697","","27/01/2026","27/01/2026","",""
"27/01/2026","P.K. ENTERPRISE ","25-26/2521","1965","","","1965","","27/01/2026","27/01/2026","UNCLE ONLINE SEND RUBEL",""
"27/01/2026","P.K. ENTERPRISE ","25-26/EVT-483","2200","2200","","","","27/01/2026","27/01/2026","",""
"27/01/2026","SANJAY SALES AGENCIES ","25-26/SSA-9159","28635","28635","","","","27/01/2026","27/01/2026","",""
"27/01/2026","SANJAY SALES AGENCIES ","25-26/SSA-9160","1295","1295","","","","27/01/2026","27/01/2026","",""
"27/01/2026","SOYETA TRADING CO  ( HINDUSTAN ALL BILLS )","GTE62768","112303","112303","","","","27/01/2026","27/01/2026","",""
"27/01/2026","SOYETA TRADING CO","GTE63150","211","211","","","","27/01/2026","27/01/2026",""," "
"28/01/2026","BIKAJI ","","4066","4066","","","","28/01/2026","28/01/2026","",""
"30/01/2026","M/S . GYANIRAM HANUMAN BUX ","GRH/25-26/7626","4175","","","4175","","30/01/2026","30/01/2026","UNCLE SEND RUBEL 5K , I BOUGHT MANY ITEM  & REMANING BALANCE RETURN TO UNCLE",""
"30/01/2026","SANJAY SALES AGENCIES ","25-26/SSA-9357","970","","","970","","30/01/2026","","",""
"31/01/2026","AALEKHYA ASSOCIATES ","A256002228","4167","4167","","","","31/01/2026","31/01/2026","",""
"31/01/2026","GOURI SANKAR ASSOCIATES","I/25-26/070747","1747","1747","","","","31/01/2026","07/02/2026","",""
"02/02/2026","GOURI SANKAR ASSOCIATES","I/25-26/071041","2396","","","2396","","02/02/2026","04/02/2026","",""
"02/02/2026","SOYETA TRADING CO","GTE65187","1198","1198","","","","02/02/2026","02/02/2026","",""
"03/02/2026","AALEKHYA ASSOCIATES ","A256002358","2203","2203","","","","03/02/2026","09/02/2026","",""
"03/02/2026","AMRITA SALES AGENCY","SIT-3645","6082","","","6082","","03/02/2026","03/02/2026","",""
"03/02/2026","GOURI SANKAR ASSOCIATES","I/25-26/071213","6222","6222","","","","03/02/2026","03/02/2026","",""
